fact_check_id,claim,instances,title
0,"(""South Africa's PRASA hiring workers for railway"", ""South Africa's PRASA hiring workers for railway"", [('eng', 1.0)])","[(1655739360.0, 'https://factcheck.afp.com/doc.afp.com.32CM7B6#ee0e1119e258f30f95f6876931cb0a51')]","('Facebook posts falsely claim rail operator in South Africa has job openings for Soweto-Jo’burg route', 'Facebook posts falsely claim rail operator in South Africa has job openings for Soweto-Jo’burg route', [('eng', 1.0)])"
1,"('“Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover”', '“Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover”', [('eng', 1.0)])","[(1611619140.0, 'https://healthfeedback.org/claimreview/covid-19-vaccines-currently-in-use-stimulate-immunity-to-the-same-degree-as-natural-infection-without-exposing-the-vaccinated-person-to-the-risks-associated-with-the-disease/#9bb4e8541635c595b6e5072c4dba33c5')]","('COVID-19 vaccines currently in use stimulate immunity to the same degree as natural infection without exposing the vaccinated person to the risks associated with the disease', 'COVID-19 vaccines currently in use stimulate immunity to the same degree as natural infection without exposing the vaccinated person to the risks associated with the disease', [('eng', 1.0)])"
2,"('Photos show NATO leaders in Madrid, Spain', 'Photos show NATO leaders in Madrid, Spain', [('eng', 1.0)])","[(1657251780.0, 'https://factcheck.afp.com/doc.afp.com.32DU27A#eaa4601d2d5eefd6d0e6a685cee1c657')]","(""Doctored photos of world leaders with 'Satanic art' made by artist to criticise power"", ""Doctored photos of world leaders with 'Satanic art' made by artist to criticise power"", [('eng', 1.0)])"
3,"('Bus crash claims 18 lives in Milima, Zambia', 'Bus crash claims 18 lives in Milima, Zambia', [('eng', 1.0)])","[(1579275420.0, 'https://factcheck.afp.com/no-deaths-were-reported-several-people-suffered-injuries-following-bus-crash-zambias-milima-region#8e41eb222d4ca54aa89ebee51fa575ea')]","('No deaths were reported but several people suffered injuries following a bus crash in Zambia’s Milima region', 'No deaths were reported but several people suffered injuries following a bus crash in Zambia’s Milima region', [('eng', 1.0)])"
4,"('U.S. pharmaceutical company Merck said it scrapped its COVID-19 vaccine trials because it was more effective to contract the virus and recover', 'U.S. pharmaceutical company Merck said it scrapped its COVID-19 vaccine trials because it was more effective to contract the virus and recover', [('eng', 1.0)])","[(1611871602.0, 'https://www.usatoday.com/story/news/factcheck/2021/01/28/fact-check-merck-ends-covid-19-vaccine-work-based-immune-response/4292935001/#c7c5360883b57a936d147c2d6f233857')]","('Fact check: Merck discontinues COVID-19 vaccine work over weak immune response', 'Fact check: Merck discontinues COVID-19 vaccine work over weak immune response', [('eng', 1.0)])"
5,"('혈압 정상수치, 한국만 120/80mmHg다.', 'Normal blood pressure is 120/80 mmHg in Korea alone.', [('kor', 1.0)])","[(1617002880.0, 'https://factcheckkorea.afp.com/hyeolab-jeongsangsuci-hangugman-12080mmhg-sasil-anim-who-poham-segye-gaggug-bogeon-danggug-jeongsang#d3e79205ef53d05b01b4c3a32264d5ff')]","('혈압 정상수치, 한국만 120/80mmHg? 사실 아님… WHO 포함, 세계 각국 보건 당국 정상 혈압 120/80mmHg 미만 권고', 'Blood pressure normal value, 120/80mmHg only in Korea? not true... WHO and other health authorities around the world recommend a normal blood pressure of less than 120/80 mmHg', [('kor', 1.0)])"
6,"('호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다.', 'New South Wales, Australia declares an end to COVID-19 without compulsory masks.', [('kor', 1.0)])","[(1615258440.0, 'https://factcheckkorea.afp.com/hoju-nyusauseuweiljeu-maseukeu-yimuhwa-eobsi-korona19-jongsig-seoneonhaessda-sanghwange-ddareun#e64fad7bf14bcde636f2412319b8c73d')]","('호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다? 상황에 따른 마스크 의무화 시행… 해외유입 신규 감염자 여전히 기록 중', 'New South Wales, Australia declares an end to COVID-19 without compulsory masks? Enforcement of mandatory mask according to the situation... New infections imported from overseas are still being recorded', [('kor', 1.0)])"
7,"('La imagen de un niño sirio que duerme junto a las tumbas de sus padres', 'The image of a Syrian child who sleeps next to the graves of his parents', [('spa', 1.0)])","[(1583947680.0, 'https://factual.afp.com/el-nino-no-duerme-entre-las-tumbas-de-sus-padres-en-siria-fue-una-puesta-en-escena-de-un-estudiante#bd7b5ff4c9d4f8e7a5721c1b1376888a')]","('El niño no duerme entre las tumbas de sus padres en Siria, fue una puesta en escena de un estudiante de fotografía', 'The boy does not sleep between the graves of his parents in Syria, it was a staging by a photography student', [('spa', 1.0)])"
8,"('Sir David Attenborough praises eco-friendly hotel in Singapore on Facebook', 'Sir David Attenborough praises eco-friendly hotel in Singapore on Facebook', [('eng', 1.0)])","[(1604050440.0, 'https://factcheck.afp.com/facebook-post-about-eco-friendly-hotel-singapore-was-not-shared-verified-account-sir-david#4c419aa64a14a5ac63ab65c6775fccd4')]","('This Facebook post about an ‘eco-friendly’ hotel in Singapore was not shared by a verified account for Sir David Attenborough', 'This Facebook post about an ‘eco-friendly’ hotel in Singapore was not shared by a verified account for Sir David Attenborough', [('eng', 1.0)])"
9,"('Leaves on trees prove Biden staged photo of departure to Europe', 'Leaves on trees prove Biden staged photo of departure to Europe', [('eng', 1.0)])","[(1648657920.0, 'https://factcheck.afp.com/doc.afp.com.3278898#466431b30fedcb013034105541f25301')]","('White House trees do not prove Joe Biden staged departure photo', 'White House trees do not prove Joe Biden staged departure photo', [('eng', 1.0)])"
