post_id,instances,ocr,verdicts,text
0,"[(1593519481.0, 'ig')]",[],[],"('La Filarmonica de Paris vivenciando un bolero de M Ravel en una plataforma sobre el Sena por el levantamiento de la cuarentena', 'The Philharmonic de Paris experiencing a bolero by M Ravel on a platform over the Seine for the lifting of the quarantine', [('spa', 1.0)])"
1,"[(1620729739.0, 'ig')]","[('MOM\nImahalo\nPatriot news\n@Grahmptr\n...\n....\nJUST IN: US Census Bureau\nConfirms HUGE CONFLICT in\nTotal Number of Voters in\n2020 Election-More People\nVoted Than Reported in 2020\nCensus Data. there is a\ndiscrepancy of nearly four\nmillion votes', 'MOM\nImahalo\nPatriot news\n@Grahmptr\n...\n....\nJUST IN: US Census Bureau\nConfirms HUGE CONFLICT in\nTotal Number of Voters in\n2020 Election-More People\nVoted Than Reported in 2020\nCensus Data. there is a\ndiscrepancy of nearly four\nmillion votes', [('eng', 0.9305148124694824), ('fil', 0.03528721258044243)])]",['Partly False'],
2,"[(1585630842.0, 'fb')]",[],['False information'],"('Así luce la Torre Latinoamericana de cdmx después de la declaratoria de #EmergenciaSanitaria\nLlegó la hora de #quedateencasa\nNo hagas reuniones\nno carnes asadas con tus amigos\nes #cuarentena\ntaggea a quienes no entienden!\n#covid19', ""This is what the CDMX Latin American Tower looks like after the declaration of #HealthEmergency\nIt's time to #stayhome\ndon't do meetings\nno roast beef with your friends\nit's #quarantine\nTag those who don't understand!\n#covid19"", [('spa', 1.0)])"
3,"[(1648580403.0, 'fb')]",[],['False information'],"('El hombre fingió ser sordo y mudo durante 62 años para evitar escuchar a su esposa.', 'The man pretended to be deaf and dumb for 62 years to avoid listening to his wife.', [('spa', 1.0)])"
4,"[(1515949200.0, 'fb')]",[],['Missing context'],"('A PESAR DE SUS LOGROS, ESTO NO ES NOTICIA.\nHa fallecido Gabriela Morreale de Castro: bioquímica, precursora de la detección precoz de hipotiroidismo congénito en recién nacidos mediante la prueba del talón. La prensa ni lo menciona.', ""DESPITE HIS ACHIEVEMENTS, THIS IS NOT NEWS.\nGabriela Morreale de Castro has passed away: biochemist, precursor of the early detection of congenital hypothyroidism in newborns through the heel prick test. The press doesn't even mention it."", [('spa', 1.0)])"
5,"[(1656816124.0, 'fb')]",[],['Altered photo/video.'],"('스페인 마드리드에서 열린 NATO 정상회의. 우연은 없다; 이 ""기괴한 예술""의 본질은 당신에게 무엇을 말해주는가?', 'NATO Summit in Madrid, Spain. There is no coincidence; What does the nature of this ""bizarre art"" tell you?', [('kor', 1.0)])"
6,"[(1608091401.0, 'fb')]",[],['False information'],"(""I'm old enough to remember when hydroxychloroquine was a kook theory from a kook president."", ""I'm old enough to remember when hydroxychloroquine was a kook theory from a kook president."", [('eng', 1.0)])"
7,"[(1645240405.0, 'fb')]",[],['False information'],"('<트랜스휴먼 : 유전자변형, 하이브리드 잡종, 인간개조>\n\n코로나백신 접종은 인류에 대한 천인공로할 유전자변형 생체실험입니다', '<Transhuman: genetic modification, hybrid hybrid, human modification>\n\nCorona vaccine inoculation is a genetically modified biological experiment that will be a blessing to mankind', [('kor', 1.0)])"
8,"[(1612380187.0, 'fb'), (1612450113.0, 'fb'), (1604783176.0, 'fb')]","[('""La esclavitud\nnunca tiene tanto\néxito como\ncuando el esclavo\nestá convencido\nde que es por su\npropio bien"" -\nAristóteles', '""Slavery\nnever have so much\nsuccess as\nwhen the slave\nIs conviced\nthat it is for your\nown good"" -\nAristotle', [('spa', 0.891075074672699), ('por', 0.10892493277788162)])]",['False information'],
9,"[(1648956190.0, 'fb')]",[],['False information'],"('Eco edificio en Singapur 🇸🇬 el primero en producir su propia electricidad con los mismos desechos del mismo edificio', 'Eco building in Singapore 🇸🇬 the first to produce its own electricity with the same waste from the same building', [('spa', 1.0)])"
10,"[(1615191779.0, 'fb')]","[('이런한심한자가 대통령이란다.\n반공법폐지\n국정원폐지\n한미동맹반대\n통일연방제\n북 핵은자위적\n신미주당\n미치광이 김정은의 하수인.\n있는 대수술 9일', ""This pathetic person is the president.\nabolition of anti-communist law\nabolition of the NIS\nOpposition to the US-Korea alliance\nunified federal system\nNorth Korea's nuclear weapons are self-defense\nShinmijudang\nThe minion of the madman Kim Jong-un.\n9 days of major surgery"", [('kor', 0.9596902132034302)])]",['False information'],
11,"[(1627798567.0, 'fb')]",[],['Partly false information'],"('🎯드디어 StarBucks 한국 탈출❗ \n🎯Star Bucks Korea의 주식을 전량 매각. \n1580개 점포 폐쇄. \n전세계 매출 2위 한국을 떠난다❗', ""🎯Finally, StarBucks escaped from Korea❗\n🎯Sell all stocks of Star Bucks Korea.\n1580 stores closed.\nLeaving Korea, the world's second-largest in sales"", [('kor', 1.0)])"
12,"[(1591848183.0, 'fb')]",[],['False information'],"('Hmmmm\n\n""THIS IS LOS ANGELES, CALIFORNIA. And they made us to believe that we can only find shanties & slums like this in Africa. This is what they hide from us until you go there and see for yourself...""', 'Hmmmm\n\n""THIS IS LOS ANGELES, CALIFORNIA. And they made us to believe that we can only find shanties & slums like this in Africa. This is what they hide from us until you go there and see for yourself...""', [('eng', 1.0)])"
